auction_end,ua_id_buyer,auction_id,order_id,site_name,id_auction,bstock_condition_name,bstock_category_name, winning_bid_usd , retail_price 
2022-09-16 17:05:00.000000 UTC,5c9150efe3d4600e81e037d8,1646151,1259352,ABC,1646151,Like New,Consumer Electronics,"  2,000 ","  8,586 "
2022-09-30 17:13:00.000000 UTC,62e329abff03c2000d83079d,1657995,1268735,ABC,1657995,Like New,"Apparel, Footwear & Accessories",  925 ,"  22,944 "
2022-11-01 17:14:00.000000 UTC,62e329abff03c2000d83079d,1683123,1290622,ABC,1683123,Brand New,"Apparel, Footwear & Accessories","  6,024 ","  51,998 "
2022-10-07 17:40:00.000000 UTC,5e9bf479c8ce886c85a237b9,1662633,1273469,ABC,1662633,Like New,"Apparel, Footwear & Accessories","  2,525 ","  15,232 "
2022-09-23 17:31:00.000000 UTC,60130b4ac8ce886da943b405,1651871,1263916,ABC,1651871,Like New,"Apparel, Footwear & Accessories","  2,469 ","  18,780 "
2022-10-07 17:15:00.000000 UTC,62e329abff03c2000d83079d,1662634,1273457,ABC,1662634,Like New,"Apparel, Footwear & Accessories","  2,825 ","  21,216 "
2022-12-13 18:31:00.000000 UTC,62e329abff03c2000d83079d,1720146,1322410,ABC,1720146,Brand New,"Apparel, Footwear & Accessories","  1,825 ","  18,279 "
2022-12-08 18:10:00.000000 UTC,54c35b66421aa90e9061d305,1714886,1319027,ABC,1714886,Brand New,"Apparel, Footwear & Accessories",  426 ,"  16,131 "
2022-11-15 18:23:00.000000 UTC,591e47e3e3d4600d330ec1e8,1695054,1300379,ABC,1695054,Brand New,"Apparel, Footwear & Accessories","  1,913 ","  34,744 "
2022-11-18 18:29:00.000000 UTC,54c35a91421aa90e9561b321,1695051,1304100,ABC,1695051,Brand New,"Apparel, Footwear & Accessories","  2,182 ","  32,352 "
2022-11-04 17:06:00.000000 UTC,635b4a04feb3d7000dbeacfc,1683121,1293343,ABC,1683121,Brand New,"Apparel, Footwear & Accessories","  3,725 ","  38,999 "
2022-09-30 17:00:00.000000 UTC,62e329abff03c2000d83079d,1657993,1268726,ABC,1657993,Like New,"Apparel, Footwear & Accessories",  625 ,"  26,628 "
2022-12-02 18:05:00.000000 UTC,6346cfecfeb3d7000dbb3495,1708023,1314372,ABC,1708023,Brand New,"Apparel, Footwear & Accessories","  1,247 ","  45,481 "
2022-09-30 17:05:00.000000 UTC,572cfa67421aa90c80a34448,1657994,1268729,ABC,1657994,Like New,"Apparel, Footwear & Accessories",  802 ,"  24,048 "
2022-09-23 17:24:00.000000 UTC,6266f403ff03c2000cc91fed,1651870,1263912,ABC,1651870,Like New,"Apparel, Footwear & Accessories","  1,469 ","  16,908 "
2022-11-01 17:57:00.000000 UTC,6359b3f4feb3d7000ca36001,1682364,1290686,ABC,1682364,Brand New,"Apparel, Footwear & Accessories","  4,236 ","  17,994 "
2022-09-13 17:12:00.000000 UTC,62e329abff03c2000d83079d,1640486,1256567,ABC,1640486,Brand New,Consumer Electronics,"  1,900 ","  46,405 "
2022-11-15 18:19:00.000000 UTC,62e329abff03c2000d83079d,1695055,1300382,ABC,1695055,Brand New,"Apparel, Footwear & Accessories","  1,926 ","  29,875 "
2022-09-13 17:39:00.000000 UTC,62e329abff03c2000d83079d,1640483,1256603,ABC,1640483,Brand New,"Apparel, Footwear & Accessories","  2,925 ","  23,195 "
2022-12-08 18:08:00.000000 UTC,637d93dcfeb3d7000ec27aa8,1715528,1319025,ABC,1715528,Brand New,"Apparel, Footwear & Accessories",  526 ,"  19,865 "
2022-09-16 17:00:00.000000 UTC,62e329abff03c2000d83079d,1646152,1259349,ABC,1646152,Like New,"Apparel, Footwear & Accessories","  1,222 ","  27,780 "
2022-10-07 17:17:00.000000 UTC,5e9bf479c8ce886c85a237b9,1662632,1273462,ABC,1662632,Like New,"Apparel, Footwear & Accessories","  1,900 ","  20,618 "
2022-11-22 18:12:00.000000 UTC,5ee99029c8ce8806227dd424,1702664,1306413,ABC,1702664,Brand New,"Apparel, Footwear & Accessories","  1,625 ","  13,000 "
2022-09-23 17:11:00.000000 UTC,62e329abff03c2000d83079d,1651872,1263906,ABC,1651872,Like New,"Apparel, Footwear & Accessories","  1,525 ","  20,794 "
2022-09-23 17:00:00.000000 UTC,62e329abff03c2000d83079d,1651873,1263889,ABC,1651873,Like New,"Apparel, Footwear & Accessories","  1,111 ","  31,842 "
2022-11-18 18:15:00.000000 UTC,62e329abff03c2000d83079d,1695052,1304089,ABC,1695052,Brand New,"Apparel, Footwear & Accessories","  1,625 ","  37,119 "
2022-11-22 18:11:00.000000 UTC,5f87a8dec8ce886daa622e6d,1702663,1306412,ABC,1702663,Brand New,"Apparel, Footwear & Accessories","  1,336 ","  11,996 "
2022-12-08 18:00:00.000000 UTC,54c35b66421aa90e9061d305,1715530,1319018,ABC,1715530,Brand New,"Apparel, Footwear & Accessories",  600 ,"  28,661 "
2022-12-16 18:00:00.000000 UTC,60130b4ac8ce886da943b405,1720150,1325459,ABC,1720150,Brand New,"Apparel, Footwear & Accessories","  1,325 ","  36,283 "
2022-09-13 17:20:00.000000 UTC,62e329abff03c2000d83079d,1640487,1256586,ABC,1640487,Brand New,Consumer Electronics,  575 ,"  26,573 "
2022-12-13 18:32:00.000000 UTC,62e329abff03c2000d83079d,1720147,1322409,ABC,1720147,Brand New,"Apparel, Footwear & Accessories","  2,820 ","  29,423 "
2022-12-16 18:10:00.000000 UTC,62e329abff03c2000d83079d,1721860,1325473,ABC,1721860,Brand New,"Apparel, Footwear & Accessories",  875 ,"  5,998 "
2022-09-13 17:10:00.000000 UTC,62e329abff03c2000d83079d,1640484,1256569,ABC,1640484,Brand New,"Apparel, Footwear & Accessories",  155 ,"  28,526 "
2022-09-13 17:05:00.000000 UTC,62e329abff03c2000d83079d,1640485,1256564,ABC,1640485,Like New,Furniture,"  2,521 ","  40,122 "
2022-11-04 17:23:00.000000 UTC,5872eb71421aa90ceab0bb2f,1683122,1293352,ABC,1683122,Brand New,"Apparel, Footwear & Accessories","  3,974 ","  38,999 "
2022-12-16 18:05:00.000000 UTC,60130b4ac8ce886da943b405,1720148,1325464,ABC,1720148,Brand New,"Apparel, Footwear & Accessories","  1,025 ","  19,395 "
2022-09-13 17:25:00.000000 UTC,62e329abff03c2000d83079d,1640488,1256587,ABC,1640488,Like New,Consumer Electronics,  857 ,"  22,954 "
2022-12-13 18:48:00.000000 UTC,60c94b4fc8ce886daa7749b4,1720149,1322450,ABC,1720149,Brand New,"Apparel, Footwear & Accessories","  5,900 ","  44,606 "
2022-09-30 17:21:00.000000 UTC,62e329abff03c2000d83079d,1657992,1268739,ABC,1657992,Like New,"Apparel, Footwear & Accessories","  1,180 ","  12,374 "
2022-11-15 18:00:00.000000 UTC,62e329abff03c2000d83079d,1695053,1300349,ABC,1695053,Brand New,"Apparel, Footwear & Accessories","  1,222 ","  37,499 "